,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
3021,Kylie Fagan,Central Michigan,9.375,7.220000000000001,2012,9.95,9.822,9.92,0.575
3022,Tauny Shearer,San Jose State,8.675,5.964285714285715,2012,0.0,0.0,0.0,-8.675
3023,Lexus Demers,Auburn,8.95,4.957142857142857,2012,0.0,0.0,0.0,-8.95
3024,Whitnee Johnson,Kent State,9.0,8.530000000000001,2012,9.825,9.682,9.74,0.825
3025,Emma Hoffman,Rutgers,9.25,8.91,2013,9.9,9.652,9.825,0.65
3026,Lauren Bilenki,West Chester,9.25,8.705,2012,0.0,0.0,0.0,-9.25
3027,Sariaye Jensen,Alaska,9.4,6.482142857142857,2012,9.75,9.507,9.725,0.35
3028,Brooke Baures,Winona State,8.8,5.6499999999999995,2012,9.45,8.598,9.315,0.65
3029,Taylor Noonan,Central Michigan,9.0,7.0125,2012,9.9,9.545,9.77,0.9
3030,Samantha VanderPutten,Cornell,8.3,7.8375,2012,0.0,0.0,0.0,-8.3
3031,Taylor Huey,S.E. Missouri,9.2,5.608333333333333,2012,0.0,0.0,0.0,-9.2
3032,Allison Rubenstein,Brown,8.725,8.31,2012,8.9,8.9,0.0,0.175
3033,Noel Stubbs,Centenary College,8.875,5.967857142857143,2012,9.775,9.117,9.615,0.9
3034,Natalie Trejo,Southern Utah,9.3,5.735714285714285,2013,9.875,9.75,0.0,0.575
3035,Brooklyn Schumacher,Ball State,9.225,8.4625,2012,9.85,9.608,9.835,0.625
3036,Briana Conkle,Missouri,8.875,5.583333333333333,2012,9.875,9.628,9.815,1.0
3037,Jenny Kaufman,Southern Conn.,9.05,8.64,2012,8.8,8.688,0.0,-0.25
3038,Morgan Johnson,North Carolina State,9.475,6.640625,2010,9.775,9.504,9.71,0.3
3039,Courtney Von Braunsberg,Cortland State,7.7,7.7,2014,9.325,8.484,8.83,1.625
3040,Dallas Smith,Sacramento State,8.175,6.004166666666666,2012,0.0,0.0,0.0,-8.175
3041,Chelsea Drooger,Kent State,9.325,6.232142857142858,2012,9.85,9.731,9.8,0.525
3042,Michaela Lapent,Bridgeport,8.45,7.658333333333333,2012,9.75,9.328,9.625,1.3
3043,Brenna Marcoux,George Washington,8.75,5.304166666666666,2012,0.0,0.0,0.0,-8.75
3044,Alexandria Porter,Bowling Green,9.05,5.512499999999999,2013,9.75,9.606,9.62,0.7
3045,Demetria Hunte,Georgia,9.0,5.3875,2013,0.0,0.0,0.0,-9.0
3046,Alexis Arena,Temple,9.025,7.38,2012,9.55,8.685,9.48,0.525
3047,Morgan Venuti,Pennsylvania,9.35,7.325,2013,9.8,9.359,9.745,0.45
3048,Jessica Starcevich,Cornell,9.3,6.908333333333333,2012,0.0,0.0,0.0,-9.3
3049,Riley Childress,Illinois State,9.0,5.896428571428571,2013,0.0,0.0,0.0,-9.0
3050,Jessie DeZiel,Nebraska,9.625,6.370833333333333,2013,9.925,9.846,9.92,0.3
3051,Kaitlyn Clark,Alabama,9.575,7.6049999999999995,2012,9.975,9.773,9.94,0.4
3052,Georgia Dabritz,Utah,9.875,6.903571428571429,2012,10.0,9.892,10.0,0.125
3053,Kayla Williams,Alabama,9.55,9.355,2012,0.0,0.0,0.0,-9.55
3054,Allison Flores,Arizona,9.7,6.757142857142857,2012,9.9,9.593,9.875,0.2
3055,Kailah Delaney,Utah,9.3,8.94375,2012,0.0,0.0,0.0,-9.3
3056,Ciera Perkins,Boise State,9.675,6.828571428571428,2012,9.975,9.798,9.925,0.3
3057,Sarah Persinger,Georgia,9.825,6.354166666666666,2012,9.9,9.785,9.82,0.075
3058,Rachel Spicer,Florida,9.775,7.2375,2012,0.0,0.0,0.0,-9.775
3059,Ellese Sakai-Hart,Denver,9.4,7.6875,2012,9.8,9.729,9.715,0.4
3060,Chelsea Tang,Oregon State,9.675,6.682142857142857,2012,9.925,9.786,9.89,0.25
