,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
142,Michigan State,Big10,2013,37,195.005,193.985,194.225,-0.24,3.7,1.51,1.661,1.587,3.545,8.08
143,Minnesota,BIG10,2013,8,196.925,196.492,195.981,0.511,14.8,2.213,1.966,2.355,2.153,7.433
144,Missouri,SEC,2013,43,194.755,193.97,194.504,-0.534,3.8,3.872,3.812,3.332,3.56,17.168
145,Nebraska,Big10,2013,14,197.145,196.87,196.489,0.381,23.2,2.906,2.989,2.319,2.237,10.547
146,New Hampshire,EAGL,2013,41,194.81,194.925,193.868,1.057,2.7,1.874,2.474,1.658,2.327,1000.0
147,North Carolina,EAGL,2013,35,195.2,194.825,194.489,0.336,0.7,3.308,3.407,3.33,3.003,10.667
148,North Carolina State,EAGL,2013,26,195.42,195.596,194.753,0.843,3.3,2.534,2.71,2.668,2.68,10.817
149,Northern Illinois,MAC,2013,50,194.095,193.39,193.479,-0.089,0.0,2.018,1.78,1.675,0.639,1000.0
150,Ohio State,Big10,2013,18,196.005,196.058,195.257,0.801,8.5,2.693,3.132,2.817,3.294,11.08
151,Oklahoma,Big12,2013,2,197.57,197.695,197.166,0.529,30.7,2.847,3.129,2.755,2.76,12.958
152,Oregon State,PAC12,2013,16,196.9,196.587,195.983,0.604,16.2,2.665,2.76,2.946,2.617,1000.0
153,Penn State,Big10,2013,15,196.51,196.029,195.389,0.64,9.6,3.293,0.516,3.087,1.784,7.087
154,Pennsylvania,GEC,2013,59,192.66,193.975,191.409,2.566,0.7,1.818,2.527,2.667,2.398,8.248
155,Pittsburgh,EAGL,2013,32,195.07,194.96,194.604,0.356,2.8,1.435,2.146,2.893,2.084,7.885
156,Rhode Island College,NaN,2013,82,170.74,167.35,169.753,-2.403,0.0,1000.0,1000.0,0.792,0.642,1000.0
157,Rutgers,Big10,2013,44,194.74,194.45,194.044,0.406,2.0,1.221,0.742,3.583,1.398,1000.0
158,S.E. Missouri,MIC,2013,47,193.125,193.783,192.515,1.268,1.0,2.328,2.407,2.405,2.356,9.389
159,Sacramento State,MPSF,2013,38,194.89,194.46,194.054,0.406,1.0,4.13,2.611,3.499,3.558,13.873
160,San Jose State,MPSF,2013,40,194.815,194.263,193.972,0.291,2.0,3.541,1.97,2.469,1.936,1000.0
161,Southern Conn.,GEC,2013,67,189.71,188.867,188.566,0.301,0.0,2.91,1.929,2.459,3.209,1000.0
162,Southern Utah,MRGC,2013,31,195.3,195.525,194.088,1.437,0.7,3.476,3.538,3.43,3.75,14.521
163,Springfield College,NaN,2013,76,183.515,182.55,182.734,-0.184,0.0,0.208,1000.0,1000.0,0.975,1000.0
164,Stanford,PAC12,2013,12,196.83,196.892,196.056,0.836,18.5,2.538,2.506,2.221,3.171,9.542
165,Temple,EAGL,2013,65,190.955,189.825,190.456,-0.631,0.0,3.453,2.202,1.068,0.371,6.366
166,Texas Woman's,MIC,2013,55,194.055,193.375,192.989,0.386,1.2,0.236,1000.0,1000.0,3.875,1000.0
167,Towson,EAGL,2013,53,193.81,193.719,192.988,0.731,0.0,2.307,2.973,2.206,2.201,11.547
168,UC Davis,MPSF,2013,42,194.78,194.412,193.775,0.637,2.4,1.875,0.892,1.414,1.684,7.563
169,UCLA,Pac12,2013,4,197.23,197.032,196.754,0.278,24.9,3.574,0.139,1000.0,2.386,1000.0
170,Ursinus College,NaN,2013,74,184.11,184.267,182.9,1.367,0.0,0.188,5.338,0.668,0.218,1000.0
