,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
503,Jordan Olszewski,Arkansas,9.5,6.7703703703703715,2021,0.0,0.0,0.0,-9.5
504,Jojo Warga,Ohio State,8.0,1.0,2021,9.9,9.604,9.84,1.9
505,Caitlyn Walsh,Cornell,8.95,6.7250000000000005,2022,9.725,9.645,0.0,0.775
506,Natalie Cross,Penn State,9.6,6.7189999999999985,2021,0.0,0.0,0.0,-9.6
507,Madison Kipp,Illinois State,9.675,7.48875,2021,9.825,9.719,0.0,0.15
508,Elizabeth Buttle,Central Michigan,9.55,7.2026315789473685,2021,9.75,9.442,0.0,0.2
509,Cassidy Stuart,Towson,9.675,7.110185185185186,2021,0.0,0.0,0.0,-9.675
510,Emma Grace Sargent,Brockport,8.25,8.1,2022,0.0,0.0,0.0,-8.25
511,Kiley Fred,West Chester,9.525,7.35,2022,9.75,9.582,9.595,0.225
512,Sydney Schumaker,Brockport,8.375,4.075,2022,0.0,0.0,0.0,-8.375
513,Emma Otsu,UC Davis,9.775,6.828703703703705,2022,9.85,9.753,9.815,0.075
514,Mia Hebinck,Denver,9.575,6.111666666666667,2022,0.0,0.0,0.0,-9.575
515,Paige Richter,Brown,9.225,6.681,2022,0.0,0.0,0.0,-9.225
516,Lara Burhans,Arizona,9.45,3.353125,2022,0.0,0.0,0.0,-9.45
517,Adabelle Wright,Cornell,9.4,6.752999999999999,2022,9.55,9.55,0.0,0.15
518,Lauren Letzsch,Oregon State,9.8,5.3187500000000005,2022,9.95,9.875,9.895,0.15
519,Simone Evans,Lindenwood,9.7,7.057142857142856,2022,9.825,9.733,9.765,0.125
520,Ashley Resch,Illinois,9.575,7.496428571428572,2022,0.0,0.0,0.0,-9.575
521,Sarah Knetzke,UW-Whitewater,9.25,7.147500000000001,2022,0.0,0.0,0.0,-9.25
522,Lara Swords,Brown,9.475,5.857352941176471,2022,9.55,9.463,0.0,0.075
523,Hailey Davis,Kentucky,9.5,6.849107142857142,2021,9.95,9.846,9.94,0.45
524,Katie Finnegan,Georgia,9.75,7.186904761904763,2021,0.0,0.0,0.0,-9.75
525,Renee Schugman,Temple,9.5,7.473863636363636,2021,9.875,9.763,9.85,0.375
526,Sherry Wang,Yale,9.8,7.0540540540540535,2022,9.85,9.54,9.81,0.05
