,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs,BB_delta
793,Dominique Chaves,Springfield College,0.0,0.0,2022,0.0,0.0,0.0,0.0
794,Nicoletta Koulos,Michigan,9.65,7.2936046511627906,2021,8.55,8.55,0.0,-1.1
795,Erin Elkabchi,Boise State,9.775,7.378906249999999,2021,9.85,9.664,9.805,0.075
796,Ruby Hernandez,Southern Utah,9.6,7.525806451612904,2021,9.725,9.408,9.345,0.125
797,Samantha Nothnagel,Cortland State,8.4,5.96875,2022,9.75,9.139,9.395,1.35
798,Jensen Scalzo,Arkansas,9.35,4.59375,2021,0.0,0.0,0.0,-9.35
799,Taiya Stelmachowski,UW-Whitewater,9.125,6.475000000000001,2021,0.0,0.0,0.0,-9.125
800,Kerrie Legault,UW-La Crosse,9.0,6.469642857142857,2021,0.0,0.0,0.0,-9.0
801,Leilani Johnson,Centenary College,8.85,4.8583333333333325,2021,0.0,0.0,0.0,-8.85
802,Mallory Desch,S.E. Missouri,9.25,7.025000000000001,2021,0.0,0.0,0.0,-9.25
803,Madison McCary,Centenary College,8.975,5.683333333333333,2022,0.0,0.0,0.0,-8.975
804,Morgan Bowles,Washington,9.575,4.0942307692307685,2021,9.825,9.459,9.735,0.25
805,Maya Davis,Brown,9.35,2.4571428571428573,2022,9.425,8.981,0.0,0.075
806,Lauren Blair,Brockport,9.2,5.085000000000001,2022,0.0,0.0,0.0,-9.2
807,Bianca Carr,Cortland State,8.7,6.23,2022,0.0,0.0,0.0,-8.7
808,Glynis Curcione,Cortland State,7.95,2.9800000000000004,2022,0.0,0.0,0.0,-7.95
809,Rachel Swick,Brockport,8.8,6.032142857142857,2022,0.0,0.0,0.0,-8.8
810,Rose Debarberie,Pennsylvania,9.475,9.462499999999999,2022,9.85,9.711,9.775,0.375
811,Kiah Johnson,West Chester,9.4,5.9171875,2022,9.625,9.562,0.0,0.225
812,Amy Krueger,Cornell,9.25,5.431578947368421,2022,0.0,0.0,0.0,-9.25
813,Shealyn Luksik,Kentucky,9.6,5.349107142857143,2021,9.95,9.797,9.83,0.35
814,Grace Nelson,Air Force,8.875,3.7666666666666666,2021,0.0,0.0,0.0,-8.875
815,Lydia Test,S.E. Missouri,9.725,7.908333333333332,2021,9.825,9.594,0.0,0.1
816,Kailyn Westbrook,UW-Stout,9.275,6.76111111111111,2021,9.35,9.144,0.0,0.075
817,Alexa Rothenbuescher,Maryland,9.6,6.673611111111112,2022,0.0,0.0,0.0,-9.6
818,Mara Johnson,Texas Woman's,9.15,6.191666666666666,2021,0.0,0.0,0.0,-9.15
