,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs,VT_delta
2916,Jenna Williams,Springfield College,9.65,5.378571428571428,2009,9.85,9.654,9.825,4.275
2917,Nicolette Wilson,Rutgers,9.45,9.225,2013,9.9,9.694,9.82,0.469
2918,Reagan Oliveri,Temple,9.175,6.025,2013,9.6,9.478,9.545,3.453
2919,Amy Vicidomini,Springfield College,8.9,8.9,2013,9.325,9.108,0.0,0.208
2920,Alicia Bair,Cornell,9.425,9.205,2013,9.825,9.616,9.79,0.411
2921,Amanda Rota,Brockport,8.9,5.870833333333334,2013,0.0,0.0,0.0,-5.871
2922,Lily Jagodzinski,Brockport,9.0,8.65,2013,0.0,0.0,0.0,-8.65
2923,Lindsay Knapp,West Chester,9.175,5.160714285714286,2013,9.375,9.155,9.28,3.994
2924,Chelsea Olson,UW-La Crosse,8.4,8.3,2013,9.25,8.825,0.0,0.525
2925,Rachel Tucker,BYU,9.175,6.029166666666666,2014,9.6,9.533,9.52,3.504
2926,Danielle Judal,UC Davis,9.55,7.759615384615385,2013,9.85,9.721,9.795,1.961
2927,Stephanie Stamates,UC Davis,9.475,6.183333333333333,2013,9.8,9.581,9.715,3.398
2928,Taylor Baron,UC Davis,9.425,6.614285714285714,2015,9.675,9.606,0.0,2.992
2929,Taylor James,William & Mary,8.775,5.309375,2013,0.0,0.0,0.0,-5.309
2930,Marley Bender,Cortland State,9.35,6.6477272727272725,2014,9.6,9.443,9.55,2.795
2931,Carissa Lim,Pennsylvania,9.375,6.57142857142857,2013,9.75,9.396,9.72,2.825
2932,Jillian Chappel,Utah State,9.5,9.333333333333334,2014,9.9,9.747,9.835,0.414
2933,Mary Beth Box,Georgia,9.7,7.898076923076923,2013,0.0,0.0,0.0,-7.898
2934,Ali Ables,Air Force,9.1,1.5166666666666666,2013,9.775,9.425,0.0,7.908
2935,Barbara Bass,UW-Oshkosh,8.725,2.908333333333333,2013,0.0,0.0,0.0,-2.908
2936,Ariel Martin,Nebraska,9.9,8.1125,2014,9.95,9.848,9.87,1.736
2937,Keara Glover,Arkansas,9.65,6.703571428571429,2013,0.0,0.0,0.0,-6.704
2938,Jaelyn Olsen,Northern Illinois,9.6,7.280555555555557,2013,9.9,9.753,9.84,2.472
2939,Diana Walters,Brown,9.575,7.817307692307692,2013,9.825,9.53,9.78,1.713
2940,Nicole Wetzel,Alaska,8.875,8.758333333333333,2013,0.0,0.0,0.0,-8.758
2941,Kellie Slater,Centenary College,9.35,9.26,2013,9.725,9.545,9.7,0.285
2942,Hannah Popper,Temple,8.975,4.4125,2013,0.0,0.0,0.0,-4.412
2943,Mikaela Jones,BYU,9.475,6.465,2013,9.875,9.708,9.795,3.243
2944,Randi Cutolo,Bridgeport,8.975,8.825,2014,0.0,0.0,0.0,-8.825
2945,Alexa Okamura,Seattle Pacific,9.3,6.234999999999999,2013,0.0,0.0,0.0,-6.235
2946,Randi Schorzman,UW-Stout,9.425,7.755769230769231,2013,9.55,9.278,9.475,1.522
