,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs,AA_delta
3241,Natali Ruzich,Temple,9.075,9.075,2012,0.0,0.0,0.0,-9.075
3242,Christie Wong,Cornell,8.85,8.85,2013,0.0,0.0,0.0,-8.85
3243,Anastasia Halbig,Rutgers,36.3,27.174999999999997,2012,0.0,0.0,0.0,-36.3
3244,Tianna Lettieri,Ursinus College,34.5,28.924999999999997,2013,0.0,0.0,0.0,-34.5
3245,Lauren Capone,Temple,33.425,27.891666666666666,2012,38.225,37.365,0.0,4.8
3246,Lia Salzano,West Virginia,36.95,36.0,2012,0.0,0.0,0.0,-36.95
3247,Ellette Craddock,UCLA,37.375,36.8125,2012,0.0,0.0,0.0,-37.375
3248,Elizabeth Kiel,UW-Oshkosh,16.7,10.3125,2013,0.0,0.0,0.0,-16.7
3249,Kimberly McRobbie,Air Force,35.375,35.375,2012,0.0,0.0,0.0,-35.375
3250,Alex Hyland,Kentucky,36.25,36.25,2016,39.6,39.243,39.55,3.35
3251,Stephanie Verry,Temple,35.275,34.4375,2012,0.0,0.0,0.0,-35.275
3252,Amanda Stepp,Northern Illinois,35.475,18.8875,2012,0.0,0.0,0.0,-35.475
3253,Brandy Stover,William & Mary,34.575,31.30833333333333,2012,0.0,0.0,0.0,-34.575
3254,Austin Sheppard,Michigan,27.325,27.325,2013,0.0,0.0,0.0,-27.325
3255,Karinne Couture,UW-La Crosse,24.525,8.174999999999999,2012,0.0,0.0,0.0,-24.525
3256,Sara Shipley,Kentucky,0.0,0.0,2012,0.0,0.0,0.0,0.0
3257,Erica Brewer,Oklahoma,37.875,37.5125,2012,39.525,39.201,39.41,1.65
3258,Sasha Tsikhanovich,Bridgeport,37.925,34.12499999999999,2012,39.5,39.03,39.435,1.575
3259,Adara Griffin,Iowa,34.9,34.3125,2013,0.0,0.0,0.0,-34.9
3260,Kelsy Landreth,Missouri,35.225,31.93333333333333,2012,0.0,0.0,0.0,-35.225
