Team,Year,VT,UB,BB,FX,Overall
Seattle Pacific,2015,56,61,54,68,58
Southern Conn.,2015,63,68,70,65,70
Southern Utah,2015,23,20,20,31,16
Springfield College,2015,72,75,75,75,75
Stanford,2015,14,4,9,20,5
Temple,2015,68,72,65,66,66
Texas Woman's,2015,54,55,59,59,59
Towson,2015,53,27,32,38,43
UC Davis,2015,20,50,24,45,39
UCLA,2015,7,11,2,8,11
UIC,2015,55,49,69,68,60
Ursinus College,2015,67,71,60,70,69
Utah,2015,1,1,7,5,2
Utah State,2015,34,34,25,23,30
UW-Eau Claire,2015,78,80,79,74,79
UW-La Crosse,2015,76,69,74,72,73
UW-Oshkosh,2015,82,79,76,77,80
UW-Stout,2015,73,77,77,77,77
UW-Whitewater,2015,66,64,72,71,71
Washington,2015,32,22,18,29,34
West Chester,2015,65,65,71,66,65
West Virginia,2015,30,50,41,23,28
Western Michigan,2015,41,38,47,49,40
William & Mary,2015,57,59,52,51,54
Winona State,2015,74,73,78,76,76
Yale,2015,70,60,62,64,63
Air Force,2014,55,48,45,49,51
Alabama,2014,4,6,3,6,4
Alaska,2014,65,65,69,68,67
Arizona,2014,14,14,19,15,24
Arizona State,2014,26,27,25,17,30
Arkansas,2014,16,17,12,19,15
Auburn,2014,11,16,20,11,20
Ball State,2014,54,59,55,52,55
Boise State,2014,13,10,32,16,19
Bowling Green,2014,34,47,42,37,40
Bridgeport,2014,47,45,59,43,53
Brockport,2014,63,71,72,63,70
Brown,2014,57,55,60,56,57
BYU,2014,24,17,32,28,29
California,2014,17,19,22,21,16
Centenary College,2014,66,70,62,65,65
Central Michigan,2014,22,21,16,13,17
Cornell,2014,59,56,68,62,61
Cortland State,2014,69,72,67,70,71
Denver,2014,17,22,14,23,18
Eastern Michigan,2014,49,54,49,54,46
Florida,2014,5,2,1,2,1
George Washington,2014,30,35,52,35,42
Georgia,2014,6,1,6,10,5
Gustavus Adolphus,2014,82,82,82,82,82
Hamline,2014,76,79,79,79,79
Illinois,2014,19,13,9,13,11
Illinois State,2014,62,49,61,67,60
Iowa,2014,37,42,47,34,38
Iowa State,2014,46,40,30,30,21
Ithaca College,2014,80,80,80,80,80
Kent State,2014,29,37,35,25,28
Kentucky,2014,21,28,40,18,21
Lindenwood,2014,58,61,51,58,58
LSU,2014,1,5,4,4,3
Maryland,2014,37,28,40,33,32
Michigan,2014,7,8,17,4,10
Michigan State,2014,41,43,29,29,39
Minnesota,2014,8,25,13,7,14
Missouri,2014,42,26,38,41,41
Nebraska,2014,9,12,11,12,6
New Hampshire,2014,31,39,17,22,25
North Carolina,2014,53,32,36,53,44
North Carolina State,2014,23,46,23,27,31
Northern Illinois,2014,50,58,39,48,49
Ohio State,2014,27,20,21,25,23
Oklahoma,2014,2,3,1,3,1
Oregon State,2014,20,11,8,19,13
Penn State,2014,14,15,14,9,12
Pennsylvania,2014,64,67,63,64,63
Pittsburgh,2014,36,52,34,40,43
Rhode Island College,2014,81,81,81,81,81
Rutgers,2014,34,37,28,36,35
S.E. Missouri,2014,44,33,58,47,48
Sacramento State,2014,33,51,43,46,45
San Jose State,2014,37,41,31,31,33
Seattle Pacific,2014,56,53,56,45,54
Southern Conn.,2014,67,68,66,60,68
Southern Utah,2014,31,23,26,37,26
Springfield College,2014,77,75,78,73,76
Stanford,2014,9,9,5,23,9
Temple,2014,60,63,57,59,62
Texas Woman's,2014,51,44,47,50,47
Towson,2014,61,60,54,57,59
UC Davis,2014,45,33,27,42,34
UCLA,2014,12,6,6,7,8
UIC,2014,43,36,53,50,52
Ursinus College,2014,74,74,73,74,73
